Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
100,Deino,,633,♂,592,92,13,14,14,91.1,20.0,20.0,,,,2026-08-19 18:54,,,,0,0,0,2500,60.88%,1603,95.51%,65000,83,Zweilous,,0,35.78%,2631,95.17%,24000,147,Hydreigon,,0,,,,,,,,,
101,Deino,,633,♂,595,93,15,11,15,91.1,20.0,20.0,,,,2026-08-19 18:54,,,,0,0,0,2500,15.75%,3451,93.04%,60500,79,Zweilous,,0,19.34%,3304,94.45%,24000,147,Hydreigon,,0,,,,,,,,,
102,Deino,,633,♀,720,100,5,7,1,28.9,28.0,28.0,,,,2026-08-19 18:54,,,,0,0,0,4500,53.31%,1913,95.09%,74000,97,Zweilous,,0,14.21%,3514,82.53%,419000,223,Zweilous,,0,,,,,,,,,
103,Sobble,,816,♂,246,55,6,12,1,42.2,9.0,9.0,,,,2026-08-19 18:11,,,,0,0,0,1000,56.90%,1766,95.31%,122000,139,Drizzile,,0,59.63%,1654,96.42%,160000,279,Inteleon,,0,74.97%,1026,93.87%,27600,32,Sobble,,0,
104,Wooper,Paldea,194,♀,264,82,13,13,13,86.7,15.0,15.0,,,,2026-08-19 18:11,,,,0,0,0,1900,54.53%,1863,94.93%,72900,116,Clodsire,,0,98.00%,83,96.61%,496400,318,Clodsire,,0,29.21%,2900,89.09%,77400,70,Wooper,Paldea,0,
105,Stunfisk,Galar,618,♀,27,23,1,13,13,60.0,1.0,1.0,Metal Claw,Earthquake,,2026-08-19 16:29,,,,0,0,0,200,89.35%,437,97.12%,88000,94,Stunfisk,Galar,0,57.48%,1742,89.37%,520000,304,Stunfisk,Galar,0,99.88%,6,99.46%,8000,16,Stunfisk,Galar,0,
106,Nickit,,827,♀,452,82,14,14,9,82.2,23.0,23.0,,,,2026-08-19 03:30,,,,0,0,0,3500,36.00%,2622,94.08%,14000,62,Thievul,,0,97.09%,120,95.76%,458000,282,Thievul,,0,22.64%,3169,89.02%,14000,12,Nickit,,0,
107,Corsola,Galar,222,♀,812,100,10,11,14,77.8,20.0,20.0,Astonish,Rock Blast,,2026-08-19 03:22,,,,0,0,0,2500,68.62%,1286,94.77%,313000,248,Corsola,Galar,0,86.86%,539,97.63%,70000,112,Cursola,,0,,,,,,,,,
108,Corsola,Galar,222,♂,842,100,,,,88.9,20.0,20.0,Tackle,Power Gem,,2026-08-19 03:22,,,,0,0,0,2500,43.82%,2010,93.77%,245000,248,Corsola,Galar,0,44.93%,1525,96.49%,65000,108,Cursola,,0,,,,,,,,,
109,Enamorus,Incarnate,905,♀,1925,112,14,15,10,86.7,20.0,20.0,Fairy Wind,Fly,,2026-08-18 17:56,,,,0,0,0,2500,,,,,,,,,23.64%,3128,94.68%,35000,31,Enamorus,Incarnate,0,,,,,,,,,
110,Gyarados,Mega,130,♂,2683,136,15,15,13,95.6,20.0,20.0,Waterfall,Hydro Pump,,2026-08-18 17:40,,,,0,0,0,15000,,,,,,,,,25.20%,3064,94.31%,35000,31,Gyarados,Normal,0,,,,,,,,,
111,Regirock,,377,,2186,133,15,10,10,77.8,25.0,25.0,Rock Throw,Focus Blast,,2026-08-14 20:20,,,,0,0,0,4000,,,,,,,,,27.72%,2961,94.64%,29500,26,Regirock,,0,,,,,,,,,
112,Stunfisk,Galar,618,♂,1380,162,11,15,13,86.7,23.0,23.0,,,,2026-08-14 01:36,,,,0,0,0,3500,75.80%,992,96.15%,14000,12,Stunfisk,Galar,0,97.88%,88,96.57%,458000,232,Stunfisk,Galar,0,,,,,,,,,
113,Stunfisk,Galar,618,♀,680,114,4,15,8,60.0,12.0,12.0,,,,2026-08-14 01:36,,,,0,0,0,1300,64.15%,1469,95.48%,69400,66,Stunfisk,Galar,0,67.35%,1338,90.47%,505400,280,Stunfisk,Galar,0,,,,,,,,,
114,Stunfisk,Galar,618,♀,1207,150,14,11,12,82.2,20.0,20.0,,,,2026-08-14 01:36,,,,0,0,0,2500,17.05%,3398,92.86%,27500,25,Stunfisk,Galar,0,96.58%,141,95.87%,475000,248,Stunfisk,Galar,0,,,,,,,,,
115,Stunfisk,Galar,618,♂,27,23,6,2,11,42.2,1.0,1.0,,,,2026-08-14 01:36,,,,0,0,0,200,34.90%,2667,93.92%,88000,94,Stunfisk,Galar,0,27.06%,2988,86.11%,520000,304,Stunfisk,Galar,0,89.55%,429,95.78%,8000,16,Stunfisk,Galar,0,
116,Stunfisk,Galar,618,♂,1188,149,11,13,11,77.8,20.0,20.0,,,,2026-08-14 01:36,,,,0,0,0,2500,47.01%,2171,94.55%,31000,28,Stunfisk,Galar,0,93.02%,287,94.63%,475000,248,Stunfisk,Galar,0,,,,,,,,,
117,Stunfisk,Galar,618,♀,1378,161,12,13,12,82.2,23.0,23.0,,,,2026-08-14 01:36,,,,0,0,0,3500,68.64%,1285,95.73%,14000,12,Stunfisk,Galar,0,96.12%,160,95.70%,458000,232,Stunfisk,Galar,0,,,,,,,,,
118,Tatsugiri,,978,♂,1554,109,14,14,14,93.3,20.0,20.0,Water Gun,Surf,,2026-08-12 21:16,,,,0,0,0,2500,,,,,,,,,58.56%,1698,96.29%,123000,114,Tatsugiri,,0,,,,,,,,,
119,Morpeko,,877,♂,1078,97,11,15,12,84.4,20.0,20.0,Bite,Aura Wheel,,2026-08-10 02:08,,,,0,0,0,2500,66.42%,1376,95.55%,51500,46,Morpeko,,0,97.90%,87,95.95%,475000,248,Morpeko,,0,,,,,,,,,
120,Swampert,Mega,260,♀,3783,176,14,14,15,95.6,30.5,30.5,Water Gun,Surf,,2026-08-08 22:44,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
121,Samurott,Hisui,503,♂,1563,132,13,10,15,84.4,20.0,20.0,Fury Cutter,Sacred Sword,,2026-08-08 22:43,,,,0,0,0,2500,,,,,,,,,42.32%,2363,95.70%,116000,106,Samurott,Hisui,0,,,,,,,,,
122,Lunala,,792,,2279,165,13,14,13,88.9,20.0,20.0,Shadow Claw,Shadow Ball,,2026-08-08 01:07,,,,0,0,0,2500,,,,,,,,,22.25%,3185,94.38%,8000,7,Lunala,,0,,,,,,,,,
123,Shelmet,,616,♂,152,55,0,11,12,51.1,8.0,8.0,,,,2026-08-06 02:53,,,,0,1,0,961,99.56%,19,99.12%,70934,292,Accelgor,,1,98.07%,80,98.81%,325200,393,Accelgor,,2,93.09%,284,96.45%,88334,108,Shelmet,,1,
124,Deerling,,585,♀,953,126,5,13,11,64.4,35.0,35.0,,,,2026-08-06 02:52,,,,0,0,0,15000,78.41%,885,88.79%,338000,118,Deerling,,0,89.43%,434,97.67%,266000,168,Sawsbuck,,0,,,,,,,,,
125,Octillery,,224,♂,1429,123,5,13,12,66.7,23.0,23.0,,,,2026-08-06 02:52,,,,0,0,0,3500,95.16%,199,97.61%,7000,6,Octillery,,0,92.48%,309,97.51%,458000,232,Octillery,,0,,,,,,,,,
126,Raichu,Alola,26,♂,1306,101,15,15,15,100.0,20.0,20.0,Volt Switch,Thunder Punch,,2026-08-06 01:51,,,,0,0,0,2500,23.61%,3129,93.82%,14000,13,Raichu,Alola,0,97.41%,107,98.29%,389000,248,Raichu,Alola,0,,,,,,,,,
127,Indeedee,Male,876,♂,1396,101,15,15,15,100.0,20.0,20.0,Extrasensory,Shadow Ball,,2026-08-06 01:51,,,,0,0,0,2500,90.13%,405,96.97%,8000,7,Indeedee,Male,0,62.47%,1538,95.98%,256000,248,Indeedee,Male,0,,,,,,,,,
128,Mewtwo,Mega Y,150,,3673,145,15,15,15,100.0,20.0,20.0,Confusion,Psychic,,2026-08-02 00:33,,,,0,0,0,2500,,,,,,,,,27.28%,2979,94.77%,2500,2,Mewtwo,Normal,0,,,,,,,,,
129,Garchomp,Mega,445,♂,3078,150,14,15,13,93.3,20.0,20.0,Dragon Tail,Breaking Swipe,,2026-08-01 22:59,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
130,Jolteon,,135,♂,1627,106,14,11,15,88.9,20.0,20.0,Volt Switch,Thunder,,2026-07-22 15:16,,,,0,0,0,2500,,,,,,,,,44.40%,2278,95.34%,85000,74,Jolteon,,0,,,,,,,,,
131,Aggron,Mega,306,♀,2331,109,13,14,11,84.4,20.0,20.0,Smack Down,Heavy Slam,,2026-07-22 11:57,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
132,Zacian,Hero,888,,2149,122,12,14,13,86.7,20.0,20.0,Fire Fang,Play Rough,,2026-07-15 18:58,,,,0,0,0,2500,,,,,,,,,60.54%,1617,96.24%,17000,16,Zacian,Hero,0,,,,,,,,,
133,Tapu Lele,,786,,2433,124,,,,77.8,25.0,25.0,Confusion,Future Sight,,2026-07-15 17:37,,,,0,0,0,4000,,,,,,,,,56.74%,769,97.11%,4000,3,Tapu Lele,,0,,,,,,,,,
134,Tornadus,Therian,641,♂,1803,120,,,,75.9,20.0,20.5,Gust,Heat Wave,,2026-07-15 15:31,,,,0,0,0,2500,,,,,,,,,34.83%,1058,96.28%,53500,48,Tornadus,Therian,0,,,,,,,,,
135,Landorus,Therian,645,♂,2194,130,,,,83.0,20.0,20.0,Mud Shot,Earthquake,,2026-07-15 15:31,,,,0,0,0,2500,,,,,,,,,51.94%,948,96.76%,14000,13,Landorus,Therian,0,,,,,,,,,
136,Palkia,Origin,484,,2885,136,10,11,15,80.0,25.0,25.0,Dragon Breath,Draco Meteor,,2026-07-15 10:35,,,,0,0,0,4000,,,,,,,,,,,,,,,,,,,,,,,,,
137,Zygarde,10%,718,,987,80,,,,80.0,15.0,15.0,Dragon Tail,Outrage,,2026-07-15 09:43,,,,0,0,0,1900,42.97%,1546,95.41%,35400,33,Zygarde,10%,0,79.99%,414,96.81%,397400,268,Zygarde,10%,0,,,,,,,,,
138,Giratina,Altered,487,,1909,176,15,12,12,86.7,20.0,20.0,Shadow Claw,Dragon Claw,,2026-07-15 09:43,,,,0,0,0,2500,,,,,,,,,31.48%,2807,94.75%,39000,34,Giratina,Altered,0,,,,,,,,,
139,Zamazenta,Hero,889,,2100,120,,,,64.9,20.0,20.0,,,,2026-07-15 09:43,,,,0,0,0,2500,,,,,,,,,34.55%,1340,96.50%,20500,19,Zamazenta,Hero,0,,,,,,,,,
140,Enamorus,Therian,905,♀,2325,126,,,,70.4,25.0,25.0,Astonish,Moonblast,,2026-07-15 09:43,,,,0,0,0,4000,,,,,,,,,32.41%,2090,95.47%,12000,10,Enamorus,Therian,0,,,,,,,,,
141,Dialga,Origin,483,,2282,130,12,11,13,80.0,20.0,20.0,Metal Claw,Roar of Time,,2026-07-15 09:43,,,,0,0,0,2500,,,,,,,,,35.02%,2662,94.96%,8000,7,Dialga,Origin,0,,,,,,,,,
142,Xurkitree,,796,,2199,124,,,,82.2,20.0,20.0,Spark,Dazzling Gleam,,2026-07-15 03:15,,,,0,0,0,2500,,,,,,,,,73.83%,926,96.95%,14000,13,Xurkitree,,0,,,,,,,,,
143,Salamence,Mega,373,♂,2830,137,10,15,15,88.9,20.0,20.0,Bite,Hydro Pump,,2026-07-14 21:15,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
144,Palkia,Origin,484,,2343,121,14,13,14,91.1,20.0,20.0,Dragon Breath,Draco Meteor,,2026-07-14 21:12,,,,0,0,0,2500,,,,,,,,,43.39%,2319,95.54%,5000,4,Palkia,Origin,0,,,,,,,,,
145,Ursaring,,217,♀,2470,163,,,,67.8,31.0,32.5,Metal Claw,Hyper Beam,,2026-07-07 01:28,,,,0,0,0,6000,,,,,,,,,51.06%,828,97.30%,6000,6,Ursaring,,0,,,,,,,,,
146,Rhydon,,112,♂,2845,186,,,,60.9,35.0,37.0,Mud-Slap,,,2026-07-07 01:27,,,,0,0,0,8000,,,,,,,,,,,,,,,,,,,,,,,,,
147,Tyranitar,Normal,248,♂,3410,179,,,,77.8,34.0,34.0,Bite,Brutal Swing,,2026-07-07 01:26,,,,0,0,0,7000,,,,,,,,,,,,,,,,,,,,,,,,,
148,Mewtwo,Mega Y,150,,3617,142,12,15,11,84.4,20.0,20.0,Confusion,Psystrike,,2026-07-07 00:53,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
149,Machamp,,68,♂,3012,174,15,15,15,100.0,39.0,39.0,Counter,Dynamic Punch,,2026-07-05 19:04,,,,1,0,0,5000,,,,,,,,,,,,,,,,,,,,,,,,,
150,Mewtwo,Mega Y,150,,3616,144,11,13,14,84.4,20.0,20.0,Confusion,Psystrike,,2026-07-05 18:58,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
