Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
93,Seel,,86,♀,193,65,4,15,12,68.9,8.0,8.0,,,,2026-08-07 01:53,2026-08-07 01:53,,,,0,1,0,961,94.43%,229,97.83%,118934,187,Dewgong,,1,89.74%,421,93.65%,402600,258,Dewgong,,2,97.95%,85,97.88%,3122,56,Dewgong,,1,
94,Axew,,610,♀,279,52,4,11,11,57.8,8.0,8.0,,,,2026-08-07 01:53,2026-08-07 01:53,,,,0,1,0,961,75.41%,1008,96.01%,83534,129,Fraxure,,1,70.62%,1204,96.66%,88334,233,Haxorus,,1,98.53%,61,97.50%,961,27,Fraxure,,1,
95,Bulbasaur,,1,♂,375,68,4,13,14,68.9,13.0,13.0,,,,2026-08-07 01:52,2026-08-07 01:52,,,,0,1,0,1921,99.58%,18,99.10%,36364,170,Venusaur,Normal,1,94.36%,232,98.30%,127200,253,Venusaur,Normal,2,88.52%,471,95.57%,16804,24,Bulbasaur,,1,
96,Tangela,,114,♀,463,66,1,12,14,60.0,8.0,8.0,,,,2026-08-07 01:52,2026-08-07 01:52,,,,0,1,0,961,99.80%,9,99.16%,88334,108,Tangela,,1,98.95%,44,99.25%,51600,139,Tangrowth,,2,98.14%,77,97.84%,961,2,Tangela,,1,
97,Pikachu,Normal,25,♂,543,80,1,13,15,64.4,23.0,23.0,,,,2026-08-07 01:52,2026-08-07 01:52,,,,0,0,0,3500,89.04%,450,96.55%,18000,65,Raichu,Normal,0,82.22%,729,92.15%,458000,282,Raichu,Normal,0,,,,,,,,,
98,Raichu,Alola,26,♂,1306,101,15,15,15,100.0,20.0,20.0,Volt Switch,Thunder Punch,,2026-08-07 00:51,2026-08-07 00:51,,,,0,0,0,2500,23.61%,3129,93.82%,14000,13,Raichu,Alola,0,97.41%,107,98.29%,389000,248,Raichu,Alola,0,,,,,,,,,
99,Indeedee,Male,876,♂,1396,101,15,15,15,100.0,20.0,20.0,Extrasensory,Shadow Ball,,2026-08-07 00:51,2026-07-25 10:23,,,,0,0,0,2500,90.13%,405,96.97%,8000,7,Indeedee,Male,0,62.47%,1538,95.98%,256000,248,Indeedee,Male,0,,,,,,,,,
100,Mewtwo,Mega Y,150,,3673,145,15,15,15,100.0,20.0,20.0,Confusion,Psychic,,2026-08-02 23:33,2026-08-02 23:33,,,,0,0,0,2500,,,,,,,,,27.28%,2979,94.77%,2500,2,Mewtwo,Normal,0,,,,,,,,,
101,Garchomp,Mega,445,♂,3078,150,14,15,13,93.3,20.0,20.0,Dragon Tail,Breaking Swipe,,2026-08-02 21:59,2026-08-02 21:59,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
102,Aggron,Mega,306,♀,2331,109,13,14,11,84.4,20.0,20.0,Smack Down,Heavy Slam,,2026-07-23 10:57,2026-07-23 10:57,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
103,Zacian,Hero,888,,2149,122,12,14,13,86.7,20.0,20.0,Fire Fang,Play Rough,,2026-07-16 17:58,2026-07-16 17:58,,,,0,0,0,2500,,,,,,,,,60.54%,1617,96.24%,17000,16,Zacian,Hero,0,,,,,,,,,
104,Buzzwole,,794,,1940,136,,,,84.4,20.0,20.0,Counter,Power-Up Punch,,2026-07-16 16:37,2026-07-16 16:37,,,,0,0,0,2500,,,,,,,,,43.04%,1726,95.98%,35000,31,Buzzwole,,0,,,,,,,,,
105,Tornadus,Therian,641,♂,1803,120,,,,75.9,20.0,20.5,Gust,Heat Wave,,2026-07-16 14:31,2026-07-16 14:31,,,,0,0,0,2500,,,,,,,,,34.83%,1058,96.28%,53500,48,Tornadus,Therian,0,,,,,,,,,
106,Landorus,Therian,645,♂,2194,130,,,,83.0,20.0,20.0,Mud Shot,Earthquake,,2026-07-16 14:31,2026-07-16 14:31,,,,0,0,0,2500,,,,,,,,,51.94%,948,96.76%,14000,13,Landorus,Therian,0,,,,,,,,,
107,Palkia,Origin,484,,2885,136,10,11,15,80.0,25.0,25.0,Dragon Breath,Draco Meteor,,2026-07-16 09:35,2026-07-16 09:35,,,,0,0,0,4000,,,,,,,,,,,,,,,,,,,,,,,,,
108,Zygarde,10%,718,,987,80,,,,80.0,15.0,15.0,Dragon Tail,Outrage,,2026-07-16 08:43,2026-07-16 08:43,,,,0,0,0,1900,42.97%,1546,95.41%,35400,33,Zygarde,10%,0,79.99%,414,96.81%,397400,268,Zygarde,10%,0,,,,,,,,,
109,Cresselia,,488,♀,1585,163,,,,84.4,20.0,20.0,Confusion,Aurora Beam,,2026-07-16 08:43,2026-07-16 08:43,,,,0,0,0,2500,,,,,,,,,56.07%,1752,96.33%,109000,98,Cresselia,,0,,,,,,,,,
110,Giratina,Altered,487,,1909,176,15,12,12,86.7,20.0,20.0,Shadow Claw,Dragon Claw,,2026-07-16 08:43,2026-07-16 08:43,,,,0,0,0,2500,,,,,,,,,31.48%,2807,94.75%,39000,34,Giratina,Altered,0,,,,,,,,,
111,Zamazenta,Hero,889,,2100,120,,,,64.9,20.0,20.0,,,,2026-07-16 08:43,2026-07-16 08:43,,,,0,0,0,2500,,,,,,,,,34.55%,1340,96.50%,20500,19,Zamazenta,Hero,0,,,,,,,,,
112,Enamorus,Therian,905,♀,2325,126,,,,70.4,25.0,25.0,Astonish,Moonblast,,2026-07-16 08:43,2026-07-15 20:35,,,,0,0,0,4000,,,,,,,,,32.41%,2090,95.47%,12000,10,Enamorus,Therian,0,,,,,,,,,
113,Dialga,Origin,483,,2282,130,12,11,13,80.0,20.0,20.0,Metal Claw,Roar of Time,,2026-07-16 08:43,2026-07-15 20:11,,,,0,0,0,2500,,,,,,,,,35.02%,2662,94.96%,8000,7,Dialga,Origin,0,,,,,,,,,
114,Salamence,Mega,373,♂,2830,137,10,15,15,88.9,20.0,20.0,Bite,Hydro Pump,,2026-07-15 20:15,2026-07-15 20:15,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
115,Palkia,Origin,484,,2343,121,14,13,14,91.1,20.0,20.0,Dragon Breath,Draco Meteor,,2026-07-15 20:12,2026-07-15 20:12,,,,0,0,0,2500,,,,,,,,,43.39%,2319,95.54%,5000,4,Palkia,Origin,0,,,,,,,,,
116,Ursaring,,217,♀,2470,163,,,,67.8,31.0,32.5,Metal Claw,Hyper Beam,,2026-07-08 00:28,2026-07-08 00:28,,,,0,0,0,6000,,,,,,,,,51.06%,828,97.30%,6000,6,Ursaring,,0,,,,,,,,,
117,Rhydon,,112,♂,2845,186,,,,60.9,35.0,37.0,Mud-Slap,,,2026-07-08 00:27,2026-07-08 00:27,,,,0,0,0,8000,,,,,,,,,,,,,,,,,,,,,,,,,
118,Tyranitar,Normal,248,♀,3431,180,,,,88.9,33.5,33.5,Smack Down,Brutal Swing,,2026-07-08 00:26,2026-07-06 18:04,,,,0,0,0,7000,,,,,,,,,,,,,,,,,,,,,,,,,
119,Mewtwo,Mega Y,150,,3617,142,12,15,11,84.4,20.0,20.0,Confusion,Psystrike,,2026-07-07 23:53,2026-07-07 23:53,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
120,Mewtwo,Mega Y,150,,3616,144,11,13,14,84.4,20.0,20.0,Confusion,Psystrike,,2026-07-06 17:58,2026-07-06 17:58,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
